Variable,Description,Data Source,Response Level,N (%)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,15.30630631,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,15.62153846,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,15.65517241,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,16.26119403,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,16.68220339,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,17.18181818,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,18.1291866,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,18.54285714,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.025390625,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.025735294,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.045454545,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.054545455,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.070866142,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.099497487,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.115891133,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.137485311,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.146082337,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.183941606,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.217081851,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.245879121,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.253703704,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.288732394,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.301412873,8 (1.0)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.309978769,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.317280453,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.326530612,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.334736842,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.344615385,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.351230425,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.377457405,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.4106814,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.44198895,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.477079796,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.482352941,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.494475138,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.531914894,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.568791946,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.600867679,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.606356968,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.637096774,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.641242938,8 (1.0)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.664556962,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.68303095,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.73556797,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.755196305,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.778835979,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.79245283,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.79408867,5 (0.6)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.794952681,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.802469136,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.818181818,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.865051903,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.917021277,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.923994039,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.925975774,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.9348659,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.946107784,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.954415954,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.981684982,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,2.988066826,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,21.922049,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,22.16393443,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,24.02229299,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.032679739,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.046852123,5 (0.6)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.09047619,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.14893617,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.171296296,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.201166181,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.25,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.25198939,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.348314607,7 (0.9)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.362252664,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.366083445,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.372596154,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.382550336,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.390822785,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.419947507,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.426470588,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.517391304,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.518134715,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.536931818,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.553278689,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.571197411,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.588531821,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.607329843,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.638069705,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.649698016,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.653583618,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.65704388,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.6625,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.672566372,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.674342105,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.680203046,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.683741648,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.6864,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.694974003,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.723849372,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.766283525,6 (0.7)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.778409091,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.7875,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.789237668,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.793838863,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.802660754,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.805068226,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.809976247,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.811783961,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.81512605,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.818435754,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.823605707,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.830623306,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.835664336,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.863309353,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.887179487,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.897233202,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.910714286,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.912698413,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.923664122,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.92897407,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.932930919,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.935483871,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.938235294,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.949152542,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,3.977570093,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.011904762,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.045454545,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.054794521,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.09623431,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.1,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.107142857,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.109289617,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.110726644,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.113753213,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.117154812,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.138263666,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.139097744,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.139489194,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.14495114,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.148091603,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.162583519,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.243678161,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.25,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.256067961,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.279661017,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.281879195,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.287610619,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.305623472,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.313034188,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.341846758,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.353600945,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.364741641,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.373239437,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.388663968,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.401574803,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.407407407,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.421428571,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.422907489,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.438964242,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.45819398,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.479166667,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.486725664,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.495098039,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.496710526,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.497837578,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.50209205,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.50297619,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.517618469,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.553571429,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.561594203,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,4.576612903,1 (0.1)
